iso3,lat,lon
AFG,33.94,67.71
AGO,-11.20,17.87
ARE,23.42,53.85
ARG,-38.42,-63.62
AUS,-25.27,133.78
AZE,40.14,47.58
BGD,23.68,90.36
BHR,25.93,50.64
BFA,12.24,-1.56
BOL,-16.29,-63.59
BRA,-14.24,-51.93
BDI,-3.37,29.92
CMR,7.37,12.35
CAN,56.13,-106.35
CAF,6.61,20.94
TCD,15.45,18.73
CHL,-35.68,-71.54
CHN,35.86,104.20
COL,4.57,-74.30
COG,-0.23,15.83
COD,-4.04,21.76
ERI,15.18,39.78
SWZ,-26.52,31.47
ETH,9.15,40.49
FIN,61.92,25.75
GAB,-0.80,11.61
DEU,51.17,10.45
GHA,7.95,-1.02
GIN,9.95,-9.70
HTI,18.97,-72.29
HND,15.20,-86.24
ISL,64.96,-19.02
IND,20.59,78.96
IDN,-0.79,113.92
IRN,32.43,53.69
IRQ,33.22,43.68
KAZ,48.02,66.92
KWT,29.31,47.48
LBN,33.85,35.86
LBY,26.34,17.23
MDG,-18.77,46.87
MYS,4.21,101.98
MLI,17.57,-3.99
MEX,23.63,-102.55
MOZ,-18.67,35.53
MMR,21.92,95.96
NCL,-20.90,165.62
NER,17.61,8.08
NGA,9.08,8.68
PRK,40.34,127.51
NOR,60.47,8.47
PAK,30.38,69.35
PSE,31.95,35.23
PNG,-6.31,143.96
PER,-9.19,-75.02
PHL,12.88,121.77
POL,51.92,19.15
RUS,61.52,105.32
RWA,-1.94,29.87
SAU,23.89,45.08
SOM,5.15,46.20
ZAF,-30.56,22.94
SSD,6.88,31.31
SDN,12.86,30.22
SWE,60.13,18.64
SYR,34.80,38.10
TZA,-6.37,34.89
TUR,38.96,35.24
TKM,38.97,59.56
UGA,1.37,32.29
UKR,48.38,31.17
USA,37.09,-95.71
UZB,41.38,64.59
VEN,6.42,-66.59
YEM,15.55,48.52
ZMB,-13.13,27.85
ZWE,-19.02,29.15
CUB,21.52,-77.78
GBR,55.38,-3.44
IRL,53.14,-7.69
