risk_id,process,applies,intrinsic_intensity_1_5,rationale
water_pollution,Mining,Y,5,"Acid rock drainage, sediment discharge, tailings seepage are mining's largest water-pollution footprint."
water_pollution,Refining,Y,4,"Acids/solvents in hydrometallurgy and SX-EW; effluent contamination."
water_pollution,Smelting,Y,3,"Wet scrubber wastewater, stormwater runoff from slag."
water_pollution,Recycling,Y,3,"Leaching chemicals, wash water; risk of closed-loop failure."
water_pollution,Marketing,Y,2,"Transport spills at ports and in transit; bunker contamination."
water_depletion,Mining,Y,5,"Dewatering of pit, large process water demand, often in arid basins."
water_depletion,Refining,Y,4,"Hydrometallurgical plants consume large volumes."
water_depletion,Smelting,Y,3,"Cooling water requirements."
water_depletion,Recycling,Y,2,"Wash and separation water, lower than virgin processing."
water_depletion,Marketing,N,1,"Negligible water use in trading/logistics."
tailings,Mining,Y,5,"Primary and only significant source; TSFs store mineral waste."
tailings,Refining,Y,2,"Residues (e.g., red mud from alumina) are similar hazards."
tailings,Smelting,Y,2,"Slag heaps; flue dust impoundments."
tailings,Recycling,Y,2,"Process residues; secondary dusts."
tailings,Marketing,N,1,"No tailings generated."
waste_pollution,Mining,Y,4,"Overburden, waste rock, hazardous reagents."
waste_pollution,Refining,Y,5,"Spent acids, solvents, filter cakes; hazardous streams."
waste_pollution,Smelting,Y,5,"Slag, flue dust, sludge, spent refractories."
waste_pollution,Recycling,Y,5,"Hazardous secondary waste streams, highly variable quality."
waste_pollution,Marketing,Y,2,"Packaging, spill residues, bunker waste."
biodiversity_species,Mining,Y,5,"Habitat destruction, fragmentation, species loss from open-pit footprint."
biodiversity_species,Refining,Y,3,"Facility footprint; localized pollution impacts on species."
biodiversity_species,Smelting,Y,3,"Acid rain and heavy metal deposition can eliminate sensitive taxa."
biodiversity_species,Recycling,Y,2,"Industrial facility footprint."
biodiversity_species,Marketing,Y,2,"Shipping lanes, port disturbance, oil spills on marine species."
biodiversity_ecosystems,Mining,Y,5,"Deforestation, hydrological disruption, soil removal."
biodiversity_ecosystems,Refining,Y,3,"Land conversion; wastewater impacts on aquatic ecosystems."
biodiversity_ecosystems,Smelting,Y,3,"SO2 acidification of surrounding ecosystems (classic smelter die-off)."
biodiversity_ecosystems,Recycling,Y,2,"Industrial footprint."
biodiversity_ecosystems,Marketing,Y,2,"Port dredging, shipping-lane habitat disturbance."
noise_pollution,Mining,Y,5,"Blasting, haul trucks, drills, crushers routinely exceed 100 dBA."
noise_pollution,Refining,Y,3,"Pumps, compressors; moderate but continuous."
noise_pollution,Smelting,Y,4,"Furnace fans, oxygen lances, slag handling."
noise_pollution,Recycling,Y,4,"Shredders and balers produce high dBA levels."
noise_pollution,Marketing,Y,2,"Loading/unloading at terminals."
air_pollution,Mining,Y,4,"Fugitive dust (PM10), diesel exhaust from haul trucks."
air_pollution,Refining,Y,5,"Stack emissions of metal fumes and volatile organic compounds."
air_pollution,Smelting,Y,5,"SO2, NOx, PM, heavy metal fumes (As, Pb, Cd, Hg)."
air_pollution,Recycling,Y,4,"Smelter-like fumes from secondary recovery."
air_pollution,Marketing,Y,2,"Shipping bunker fuel combustion; port emissions."
soil_pollution,Mining,Y,5,"Overburden, legacy contamination, topsoil loss."
soil_pollution,Refining,Y,4,"Chemical spills, sludge disposal."
soil_pollution,Smelting,Y,5,"Metal deposition in 10 km radius documented globally."
soil_pollution,Recycling,Y,3,"Stormwater runoff from scrap yards."
soil_pollution,Marketing,Y,2,"Spills at storage/transport nodes."
ghg_emissions,Mining,Y,3,"Diesel fleet, electricity for equipment."
ghg_emissions,Refining,Y,4,"Process heat, electricity."
ghg_emissions,Smelting,Y,5,"Iron/steel and aluminum smelting are emissions-intensive globally."
ghg_emissions,Recycling,Y,3,"Lower than primary but non-trivial."
ghg_emissions,Marketing,Y,3,"Shipping, trucking, bunker combustion."
health_risks,Mining,Y,5,"Silicosis, injury, noise-induced hearing loss, community exposure."
health_risks,Refining,Y,4,"Chemical exposure, acid burns."
health_risks,Smelting,Y,5,"Heavy metal inhalation, burns, respiratory disease."
health_risks,Recycling,Y,4,"Hazardous exposure, especially in informal recycling."
health_risks,Marketing,Y,2,"Port worker safety, shipping incidents."
displacement,Mining,Y,5,"Large land footprint requiring resettlement."
displacement,Refining,Y,2,"Industrial facility footprint."
displacement,Smelting,Y,2,"Industrial facility footprint."
displacement,Recycling,Y,1,"Typically in existing industrial zones."
displacement,Marketing,Y,1,"Port expansion occasionally."
physical_instability,Mining,Y,5,"Tailings dam failure, pit slope failure, subsidence."
physical_instability,Refining,Y,2,"Process unit failure risk."
physical_instability,Smelting,Y,2,"Furnace runouts, process incidents."
physical_instability,Recycling,Y,1,"Limited physical hazard."
physical_instability,Marketing,Y,2,"Pipeline rupture, shipping casualty."
cultural_heritage,Mining,Y,4,"Excavation of archaeological sites (e.g., Juukan Gorge)."
cultural_heritage,Refining,Y,1,"Rarely impacts heritage sites."
cultural_heritage,Smelting,Y,1,"Rarely impacts heritage sites."
cultural_heritage,Recycling,Y,1,"Rarely impacts heritage sites."
cultural_heritage,Marketing,Y,1,"Rarely impacts heritage sites."
improper_waste_disposal,Mining,Y,4,"Historical illegal dumping, unlicensed impoundments."
improper_waste_disposal,Refining,Y,5,"Hazardous waste diversion risk."
improper_waste_disposal,Smelting,Y,5,"Flue dust and sludge management failures."
improper_waste_disposal,Recycling,Y,5,"Particularly acute in informal recycling chains."
improper_waste_disposal,Marketing,Y,2,"Spill cleanup diversion; bunker waste."
